country_name,consulting_day,coronavirus_cases,coronavirus_deaths,coronavirus_recovered
Czechia,2020-05-03,"7,755 ",245,"3,461"
Kazakhstan,2020-05-03,"3,857 ",25,985
Bangladesh,2020-05-03,"8,790 ",175,177
Australia,2020-05-03,"6,783 ",93,"5,789"
Dominican Republic,2020-05-03,"7,578 ",326,"1,481"
Philippines,2020-05-03,"8,928 ",603,"1,124"
Serbia,2020-05-03,"9,362 ",189,"1,426"
Norway,2020-05-03,"7,809 ",211,32
Denmark,2020-05-03,"9,407 ",475,"6,889"
S. Korea,2020-05-03,"10,793 ",250,"9,183"
Romania,2020-05-03,"12,732 ",771,"4,547"
UAE,2020-05-03,"13,599 ",119,"2,664"
Ukraine,2020-05-03,"11,411 ",279,"1,498"
Indonesia,2020-05-03,"10,843 ",831,"1,665"
Poland,2020-05-03,"13,375 ",664,"3,762"
Japan,2020-05-03,"14,571 ",474,"3,205"
Qatar,2020-05-03,"14,872 ",12,"1,534"
Austria,2020-05-03,"15,558 ",596,"13,180"
Belarus,2020-05-03,"15,828 ",97,"3,117"
Israel,2020-05-03,"16,185 ",229,"9,593"
Switzerland,2020-05-03,"29,817 ","1,762","24,200"
Chile,2020-05-03,"18,435 ",247,"9,572"
Netherlands,2020-05-03,"40,236 ","4,987",N/A
Ecuador,2020-05-03,"27,464 ","1,371","2,132"
Peru,2020-05-03,"42,534 ","1,200","12,434"
India,2020-05-03,"39,699 ","1,323","10,819"
Belgium,2020-05-03,"49,517 ","7,765","12,211"
Canada,2020-05-03,"56,714 ","3,566","23,801"
Singapore,2020-05-03,"17,548 ",17,"1,347"
